question,answer
"剛剛年滿18歲大學一年級新生小明想要購買一台昂貴跑車，並與業者簽訂跑車買賣契約，是否有效。
","一、為使民法成年之定義與刑事責任及行政罰責任之完全責任年齡相符（刑法第18條、行政罰法第9條均規定為18歲），另考量現今社會網路科技發達、大眾傳播媒體普及、資訊大量流通，青年之身心發展及建構自我意識之能力已不同以往，且世界多數國家關於成年年齡規定多為18歲，為使民法成年定義符合社會青年身心發展現況，保障其權益，並與國際接軌，我國於110年1月13日修正關於民法成年之定義，並明定於112年1月1日施行。
二、民法關於成年定義修正之相關規定，簡述如下：（一）民法修正後，成年年齡將由原先20歲，修正為18歲。（二）關於未成年人結婚及訂婚年齡之限制，不再因性別而有不同；最低結婚年齡均為18歲，最低訂婚年齡均為17歲，並刪除未成年人因結婚而取得行為能力及相關規定。（三）綜上，民法修正施行後，滿18歲之人即為成年人，亦即有完全行為能力，相對地，也必須負擔各項法律行為責任。
三、舉例而言，剛剛年滿18歲大學一年級新生小明想要購買一台昂貴跑車，並與業者簽訂之買賣契約，是否有效？
（一）依現行有效民法第12條及第13條規定，小明為限制行為能力人（7歲以上但未滿20歲），並不具有完全行為能力；因此，小明縱與業者簽訂跑車買賣契約，在法定代理人（如父母）同意該買賣契約前，這份契約並不會因為小明已經簽名而發生效力。（二）但在112年1月1日以後，依修正後民法第12條規定，小明為成年人（年滿18歲）並具有完全行為能力；因此，小明可以單獨決定簽訂跑車買賣契約，不需得到法定代理人同意，該份契約已發生法律上效力。（三）民法修正並於112年1月1日施行後，年滿18歲青年將成為法律上之成年人，可以單獨決定是否簽訂契約，甚至決定是否結婚，不再如過去需要法定代理人同意，才會發生法律上的效力。溫馨提醒父母及孩子們注意這項規定的修正，才能一起迎接更美好的成年生活！"
"小明某日於KTV飲酒歡唱後，搭乘小華駕駛其所有之計程車返家，途中因酒醉在車上嘔吐，致嘔吐物佈滿計程車後座區及右後門。則小明有何法律責任？
","一、關於刑事法律責任：
刑法第354條：「毀棄、損壞前二條以外之他人之物，或致令不堪用，足以生損害於公眾或他人者，處二年以下有期徒刑、拘役或五百元以下罰金。」係屬普通毀損罪之規定。而本罪之「致令不堪用」係指以毀棄、損壞以外之其他方法，雖未毀損原物，但已喪失物之「功能效用」而言。本案中，車上之嘔吐物經清洗即可，並未致車輛不堪使用，因此尚難對小明以毀損罪處罰之。
二、關於民事法律責任：
(一)小明嘔吐的行為對小華成立侵權行為民法第184條第1項：「因故意或過失，不法侵害他人之權利者，負損害賠償責任。故意以背於善良風俗之方法，加損害於他人者亦同。」此條文為侵權行為之規定。本案中，小明因酒醉在小華所有之計程車上嘔吐，造成小華之車輛髒污，小華因此受有財產損害，小明已構成侵權行為。
(二)小明須對小華負以下損害賠償責任按「負損害賠償責任者，除法律另有規定或契約另有訂定外，應回復他方損害發生前之原狀。」、「第一項情形，債權人得請求支付回復原狀所必要之費用，以取代回復原狀。」。「損害賠償，除法律另有規定或契約另有約定外，應以填補債權人所受損害及所失利益為限。」民法第213條第1項、第3項及第216條第1項分別定有明文。因此，小華可依民法第213條第1項、第3項之規定，要求小明回復原狀(即髒污之清潔)，或可直接向小明請求車輛清潔費用之損害賠償(即直接請求清潔之必要費用)。另外，小華之計程車如因嘔吐穢物臭味久久未能散去致無法正常營業所造成的損失，另可依民法第216條第1項向小明請求賠償營業損失。"
"小莉某日帶著所飼養的小型寵物狗至公園遛狗，驚見一隻大型比特犬從遠處衝來，將她所養的小狗拖在地板上狠咬，導致其愛犬背部被咬出5個傷口，小莉緊急將愛犬送至動物醫院救治，花費10,000元醫療費用。事件發生後，闖禍的男飼小明竟還冷回「我家的狗平時很乖，一定是被妳的狗挑釁才會失控」，令小莉感到十分憤怒便將經過PO上網，小莉並認為該比特犬的飼主小明應該接受處罰，並賠償愛犬10,000元的醫藥支出，法規依據為何？ ","一、違反動物保護法之行政責任： 依動物保護法(下稱「動保法」)第20條規定，具攻擊性之寵物出入公共場所或公眾得出入之場所，應由成年人伴同，並採取適當防護措施。至於「具攻擊性之寵物」及「其所該採取之防護措施」之規定，則由中央主管機關(即農委會)公告。 又依照農委會於民國 104年09月23日以農牧字第1040043358號公告「具攻擊性寵物及其出入公共場所該採取之防護措施」之相關規定，「具攻擊性之寵物」是指「危險性犬隻」及「無正當理由曾有攻擊人或動物行為紀錄之犬隻」。又「危險性犬隻」是指比特犬、日本土佐犬、紐波利頓犬、阿根廷杜告犬、巴西菲勒犬、獒犬及與上述犬隻混血之犬隻。如將具攻擊性之寵物帶至公共場所，須遵守以下規定：(一)以長度不超過1.5公尺之繩或鍊牽引、(二)配戴不影響散熱之透氣口罩。
本案中，該比特犬飼主小明未依前述規定備妥相關防護措施即出入公共場所或公眾得出入之場所，主管機關得依動保法第29條規定處飼主新臺幣3萬元以上15萬元以下罰鍰。
並且，飼主可能會因違反動保法第7條未履行防止寵物無故侵害他人之義務，主管機關得依動保法第32條第3項第3款，逕行裁處沒入飼主之動物。然而，此部分實務上(參照最高行政法院92年判字第242號判決)認為，飼主因管理不善致犬隻侵害他人，如歸咎於犬隻即處以沒入，形同處以該犬極刑，有悖保護動物本旨，除非個案中犬隻侵害的事實情節重大，主管機關通常不會裁處沒入犬隻。
二、民事賠償責任：民法第184條第1項前段規定「因故意或過失，不法侵害他人之權利者，負損害賠償責任。」、同法第190條第1項前段規定「動物加損害於他人者，由其占有人負損害賠償責任。」飼主小明未依上開動保法等相關規定，在公眾場所對自己的比特犬採取安全防護措施，因而造成小莉的愛犬遭到咬傷，小明未盡動物管理人之注意義務，已構成不作為之侵權行為責任，小莉為此支出醫藥費用10,000元是受有財產上之損害，小明對於小莉財產上之損害(支出醫藥費用)依法應負損害賠償責任。"
"小明與小美是情侶關係，小明為了自己平日上下班的便利，以及假日便於搭載小美一同外出旅遊，於是決定購買一輛全新的休旅車。然而，小明因為曾經發生多次駕車肇事的不良記錄，所以應繳的汽車保險費率甚高，小明為了繳交較為低廉的汽車保險費，乃與小美約定將所購買的汽車借名登記在小美的名下。怎知，半年之後，小明與小美卻因為個性不合而分手，且雙方發生嚴重爭吵以致於無法溝通，小明要求處理車輛登記乙事，小美皆不予理會。請問，小明要如何辦理汽車過戶登記回自己名下？
","汽車為動產，而動產所有權的移轉，只需要「讓與合意」+「交付」即已足，故車商就汽車與小明有讓與合意，並將汽車交付給小明，小明即取得汽車所有權。至於在監理機關辦理過戶，則屬行政管理事項，非汽車所有權移轉之法定要件。故汽車雖登記於小美名下，但小明才是汽車所有權人，因為小明並沒有對汽車所有權的移轉與小美有讓與合意。
本案中，小明為了要降低保費，將汽車借名登記於小美名下，而借名登記契約的性質，實務見解認為(最高法院106年台上字2678號判決)，應類推適用民法「委任」契約之規定。又依民法第549條第1項規定，當事人之任何一方，得隨時終止委任契約。故小明與小美成立汽車借名登記契約，其契約類推適用民法委任之規定，又按照上述民法規定，小明可以隨時終止與小美的借名登記契約。
汽車借名登記契約一經終止，依法即向後失效，小美享有「登記之利益」則屬無法律上之原因，也就是說，汽車先前之所以可以登記在小美名下，是因為有借名登記契約的依據，但該契約如果被終止，則小美的汽車登記就開始無所憑據。因此，小美構成民法第179條之「不當得利」，依法應將該「登記之利益」返還給小明，亦即，將汽車過戶登記為小明名下。
由於監理機關為牌照登記管理機關，汽車之登記僅形式審查，不問實際所有權人，辦理車輛過戶登記應出示雙方車主證明文件，表示他們移轉登記是合意的，若其中一方不同意辦理過戶，則另一方應持有雙方車主協同配合至監理機關辦理過戶之判決確定，監理機關始能認定雙方合意過戶。因此，小明應先終止借名登記契約，再本於其為汽車之所有權人，以訴訟請求小美應協同小明至監理機關辦理汽車借名登記之異動，將汽車過戶登記於小明名下。"
"何謂支付命令？戶籍地在台中的A先生，因積欠銀行債務，遂離開戶籍地避債，未與家人聯繫。期間銀行屢次向A先生催收未果，遂向法院申請支付命令，請求A先生清償卡債，法院依債權人即銀行之請將支付命令寄至A先生之台中戶籍地，由A先生之配偶收受。法院因於支付命令送達後20日內未收到債務人A先生提出異議，法院則發給銀行支付命令確定證明書。事後A先生返回戶籍地始知悉上開情事，主張其未居住在戶籍地，本件支付命令並未合法送達。試問A先生的主張是否有理？
"," 一、何謂「支付命令」？
支付命令規定在民事訴訟法第六編「督促程序」，係指債權人對債務人若請求支付一定數量之金錢、或其他代替物(如白米20公斤)、或有價證券(如某股份有限公司股票50張)，可請求法院對債務人發支付命令，督促債務人在收到支付命令後20日內，向債權人清償並賠償程序費用。支付命令性質屬於非訟事件，並不需要經由法院開庭審理，為較簡易之解決紛爭方式。
若債務人於收到支付命令後20日內未提出異議，法院則會發給債權人支付命令確定證明書，則該支付命令得為執行名義，債權人得以該支付命令向執行法院聲請強制執行債務人之財產，若債務人欲阻止財產被執行，得於執行程序終結前提起債務人異議之訴(強制執行法第14條第2項)或另外提起確認債權不存在之訴並供擔保聲請停止強制執行(民事訴訟法第521條第3項)。
但若是債務人於支付命令送達後20日內有提出異議，則支付命令會失效，法院則會以債權人支付命令之聲請，視為起訴或聲請調解，雙方債權債務關係之爭議則會進入訴訟程序或調解程序。
二、「支付命令」之送達程序是否合法：
非訟事件法第31條規定，民事訴訟法有關送達之規定，於非訟事件準用之。又民事訴訟法第136條規定，向應受送達人即本人為送達時，應在本人之住居所、事務所、營業所、與本人會晤處所或本人就業處所行之，並應由本人親自收受，此時生送達之效力。又應送達處所中之「住所地」應如何認定？依民法第20條規定，住所地之認定須符合以下二要件，分別為「主觀上有久住意思」與「客觀上有住於一定區域事實」，因此，「戶籍地」並非作為認定住所地之唯一標準(最高法院107年台上字第62號判決)。但實務上(最高法院109年台抗字第313號裁定)認為，若無客觀的事證足認當事人已久無居住該原登記戶籍之地域，並已變更意思以其他地域為住所者，戶籍登記之處所，仍非不得作為推定其住所之依據，因此，在A先生能舉反證推翻台中並非其住所地之前，A先生之住所地仍係台中。縱使A先生是出於短暫避債之意思暫時不住台中，仍不改變A先生之住所仍為台中之事實，蓋A先生仍有歸返之意，對於台中無廢止其為住所之意思(最高法院106年台上字第2635號判決)。
又倘若未能於本人之住居所、事務所或營業所會晤應受送達之本人時，依同法第137條規定，只要應受送達人之同居人或受僱人有辨別事理的能力且該等之人亦非應受送達人之他造時，送達人只需將應送達之文書付與應受送達處所之同居人或受僱人，即生合法送達效力。本題中，A先生之配偶為同居人，故A先生之配偶收受支付命令，已生合法送達之效力。A先生之主張並無理由。"
何種案件得向臺中市政府採購申訴審議委員會申請調解？,"一、依政府採購法第85條之1及採購履約爭議調解規則第2條規定，廠商因辦理臺中市政府及所屬機關辦理政府採購案件，與機關因履約爭議未能達成協議者，得向臺中市政府採購申訴審議委員會申請調解。
二、調解申請書相關書表格式，得至「臺中市政府法制局全球資訊網-機關業務-採購申訴及履約爭議-履約爭議調解書表格式」項下下載利用。"
何種案件得向採購申訴審議委員會提出申訴？,"依政府採購法第76條、第85條及第102條規定，廠商對於下列事項，得於法定期間內向採購申訴審議委員會提出申訴：
（一）廠商對於公告金額以上採購異議之處理結果不服，或招標機關逾同法第75條第2項所定期限不為處理者。但爭議屬於同法第31條規定，不予發還或追繳押標金者，不受公告金額以上之限制。
（二）機關依同法第101條所為之通知，經異議後，仍不服異議處理結果。
（三）審議判斷書指明原採購行為違反法令，招標機關未於法定期限內為適法處置，廠商得自期限屆滿之次日起15日內向採購申訴審議委員會申訴。"
申請採購申訴或履約爭議調解是否需繳納費用？收費標準為何？,"一、依政府採購法第80條第4項及第85條之2規定，廠商提出採購申訴、申請履約爭議調解，應繳納審議費、調解費。
二、每一申訴事件審議費為新臺幣3萬元；調解事件之收費標準則以廠商請求或確認之調解標的金額，並依採購履約爭議調解收費辦法第5條所定級距，收取調解費。"
提起採購申訴法定期間及方式為何？,"一、依政府採購法第76條、第102條、採購申訴審議規則第2條及第7條規定，廠商不服機關所為異議處理結果，或機關於法定期限內不為處理者，廠商得於收受異議處理結果或期限屆滿之次日起15日內，依其屬中央機關或地方機關辦理之採購，以書面分別向主管機關、直轄市或縣（市）政府所設之採購申訴審議委員會申訴。廠商提出申訴，應同時繕具副本送招標機關。
二、依採購申訴審議規則第3條規定，申訴應具申訴書，載明下列事項，由申訴廠商簽名或蓋章︰（一）申訴廠商之名稱、地址、電話及負責人之姓名、性別、出生年月日、住所或居所。（二）原受理異議之機關。（三）申訴之事實及理由。（四）證據。（五）申訴之年、月、日。
三、申訴書相關書表格式，得至「臺中市政府法制局全球資訊網-機關業務-採購申訴及履約爭議-採購申訴書表格式」項下下載利用。"
申請履約爭議調解之方式？,"一、依採購履約爭議調解規則第6條規定，申請調解應具申請書，繕具履約雙方當事人之基本資料、欲請求之調解標的、事實及理由，並檢附契約及相關證據後，提送臺中市政府採購申訴審議委員會正本1份、繕本3份，並按他造人數分送副本。
二、調解申請書相關書表格式，得至「臺中市政府法制局全球資訊網-機關業務-採購申訴及履約爭議-履約爭議調解書表格式」項下下載利用。"
調解結果大致有幾類？調解不成立得否向調解委員會聲請證明文件？,"1.調解結果可分為調解成立與調解不成立兩類。依鄉鎮市調解條例第26、27條，調解成立經法院核定後，當事人就該事件不得再行起訴、告訴或自訴，且與民事確定判決有同一之效力；經法院核定之刑事調解，以給付金錢或其他代替物或有價證券之一定數量為標的者，其調解書得為執行名義。
2.依同法第30條，調解不成立者，當事人得向調解委員會聲請調解不成立證明書；調解委員會應於聲請後7日內發給。"
調解書可否不填個人資料(如住居所)？,依鄉鎮市調解條例第25條第1項第1款規定，調解成立時，調解委員會應作成調解書，記載當事人或其法定代理人之姓名、性別、年齡、職業、住、居所。另依鄉鎮市調解條例第27條第2項規定，經法院核定之民事調解，與民事確定判決有同一之效力；經法院核定之刑事調解，以給付金錢或其他代替物或有價證券之一定數量為標的者，其調解書得為執行名義。因經法院核定之調解書與確定判決有同一效力，且得為執行名義，故依法調解書上須載明調解當事人之個人資料，法院始得確認人別，如未記載，法院將不予核定。
何種事件可以向鄉鎮市區調解委員會聲請調解？,"1.依「鄉鎮市調解條例」第1條規定，鄉、鎮、市公所應設調解委員會，辦理下列調解事件：一、民事事件。二、告訴乃論之刑事事件。
2.民事事件例如債權債務之清償、房地產買賣、租賃、侵占、婚姻、繼承、公害賠償、商事買賣、其他有關民事事件。
3.告訴乃論的刑事事件如妨害風化、普通傷害、妨害名譽信用及秘密、親屬間財產犯罪、交通事故等。凡刑事案件如有侵權行為而有民事賠償請求權存在者，該民事賠償部分即屬民事事件，可由調解委員會就該民事賠償部分進行調解，與該案刑事部分是否屬告訴乃論之罪無涉（法務部107年7月6日法律字第 10703509940 號函）。"
聲請調解之方式為何？,"1.書面聲請：當事人向調解委員會索取聲請書自行填妥後提出聲請（鄉鎮市調解條例第10條第1項前段）。
2.言詞聲請：當事人以言詞向調解委員會提出聲請，經該會作成筆錄（鄉鎮市調解條例第10條第1項中段）。
3.當事人提出書面聲請者，應按他造人數提出繕本，即依對造人數提供聲請書的影本（鄉鎮市調解條例第10條第1項後段）。
4.聲請調解，應在聲請書中表明聲請調解的事由及爭議的情形；如果已經在法院辯論終結的案件，不得聲請調解（鄉鎮市調解條例第10條第2、3項）。"
聲請調解是否須經爭議事件之他方同意？,鄉鎮市調解條例第11條規定，聲請調解，民事事件應得當事人之同意；告訴乃論之刑事事件應得被害人之同意，始得進行調解。係因調解不具有強制性，調解委員決定調解期日，合法通知當事人或其代理人到場，並無拘束力，當事人無正當理由不到場，除認為有成立調解之望者，得另定調解期日外，視為調解不成立（法務部93年10月26日法律決字第0930036977號書函參照）。
應向何單位聲請調解？,"1.依「鄉鎮市調解條例」第13條，聲請調解事件之管轄如下：
一、兩造均在同一鄉、鎮、市居住者，由該鄉、鎮、市調解委員會調解。
二、兩造不在同一鄉、鎮、市居住者，民事事件由他造住、居所、營業所、事務所所在地，刑事事件由他造住、居所所在地或犯罪地之鄉、鎮、市調解委員會調解。
三、經兩造同意，並經接受聲請之鄉、鎮、市調解委員會同意者，得由該鄉、鎮、市調解委員會調解，不受前二款之限制。
2 .交通事故調解案件宜由當事人向警察機關申請相對人個人資料，俟警察機關確認肇事逃逸車輛並提供該肇逃者個人資料後，當事人再依據相關資料向調解機關聲請調解，調解機關即可據以依上開規定判斷調解案件管轄權之歸屬（法務部102年3月8日法律字第10200019250號函）。
3.本市各區調解委員會申請調解，可採線上方式申請（https://taichungmd.taichung.gov.tw/mediation.aspx）"
如何聲請債務、繼承、房屋漏水、車禍等糾紛之調解？,"1.依鄉鎮市調解條例第13、14條管轄規定，向對造住居所之區公所調解委員會聲請，繼承事件倘繼承人有數位，且住居所不在同一鄉鎮市區者，可得全部繼承人同意向其中一人之住居所調解委員會提出聲請。
2.填寫調解聲請書。
3.依聲請調解事件，分別提出「借據或票據」、「被繼承人除戶謄本、遺產清冊及全部繼承人戶籍謄本」、「建物權狀影本、漏水管線位置圖或照片、漏水施工估價單」、「交通事故鑑定報告、醫療費用收據、醫療診斷證明書影本」等各項證明文件。"
經法院核定之民事調解如有無效或得撤銷的原因，如何救濟？,法務部法律事務司98年6月25日法律決字第0980024001號函釋，經法院核定之調解案件，除兩造當事人均同意解除外，不得因單方申請而逕行撤銷調解成立案或不送法院審核；但如有意思瑕疵等情事，當事人仍得於法院核定後另依鄉鎮市調解條例第29條等規定提起調解無效或撤銷調解之訴。
告訴乃論之刑事事件由有告訴權人聲請調解，倘經調解不成立時，是否會影響刑事告訴之時效？,"1.按109年11月12日最高法院109年度台上字第4249號判決摘要：「鄉鎮市調解條例第 31 條規定：「告訴乃論之刑事事件由有告訴權之人聲請調解者，經調解不成立時，鄉、鎮、市公所依其向調解委員會提出之聲請，將調解事件移請該管檢察官偵查，並視為於聲請調解時已經告訴。」其立法目的乃為促使當事人善用鄉鎮市調解制度，使告訴乃論之罪之告訴權人，不致因聲請調解程序費時，造成調解不成立時，告訴權因告訴期間屆滿而喪失，以致影響其權益。而前揭法條既未規定有告訴權之人必須在調解不成立之「同時」聲請移請檢察官偵查，亦未對該聲請設有期間之限制。如認調解不成立之次日或其後6個月內（參照刑事訴訟法第237條規定之法理）向調解委員會提出聲請移請檢察官偵查，仍然無法視為於聲請調解時已經告訴，不免過苛，已然剝奪被害人告訴權之行使。因此，凡聲請調解不成立者，無論同時或其後6個月內向調解委員會聲請將調解事件移請該管檢察官偵查，均生視為於聲請調解時已經告訴之效果，俾符保障聲請調解之被害人猶能充分行使告訴權之立法本旨。至於為避免追訴與否懸而未定，無限聽其不安定狀態之繼續，前開向調解委員會聲請移請檢察官偵查之時間，是否宜有期間限制？以多久為適宜？尚非審判機關所能決定，有待循立法途徑解決。」
2.另109年11月25日臺灣高等法院暨所屬法院109年法律座談會刑事類提案第23號決議：「鄉鎮市調解條例第31條規定：「告訴乃論之刑事事件由有告訴權之人聲請調解者，經調解不成立時，鄉、鎮、市公所依其向調解委員會提出之聲請，將調解事件移請該管檢察官偵查，並視為於聲請調解時已經告訴。」其立法目的，乃為促使當事人重視鄉鎮市調解制度，樂於聲請調解，使告訴乃論之罪之告訴權人，不致因聲請調解程序費時，造成調解不成立時，告訴權因告訴期間屆滿而喪失，以致影響其權益。而告訴權人聲請調解不成立後，該告訴權人聲請調解委員會將調解事件移請檢察官偵查之期間並無限制，徵諸上開規定94年5月3日修正理由謂：「依刑事訴訟法之規定，限於有告訴權人之告訴始發生告訴之效果，是本條應限於有告訴權人之聲請調解始得視為於聲請調解時已經告訴，爰配合將『被害人』修正為『有告訴權之人』，以資明確。」可見立法者有意將「聲請調解」與「提出告訴」等視，兩者差別僅在於調解委員會並非偵查機關，從而只要調解不成立後，聲請調解之告訴權人聲請調解委員會將調解事件移請檢察官偵查，即視為於聲請調解時已經告訴，縱然此有無限期延長告訴期間之疑慮，但事涉告訴權人訴訟權之限制，應循修法途徑處理。
3.依上述法院實務見解，甲於民國108年1月1日因駕車過失致乙受傷，乙於 108年4月1日向丙鎮公所調解委員會聲請調解，於108年8月1日調解不成立。乙於109年3月1日聲請丙鎮公所調解委員會將調解事件移請檢察官偵查，檢察官於109年5月1日起訴甲涉犯過失傷害罪嫌，依鄉鎮市調解條例第31條規定，自應視為乙於108年4月1日聲請調解時已經告訴，其告訴合法，檢察官起訴之訴追條件並無欠缺，法院應為實體判決。"
在法院審理中的民事事件、在檢察署偵查中或法院審理中的刑事案件是否可以聲請調解？,鄉鎮市調解條例第10條第3項：第一條所定得調解事件已在第一審法院辯論終結者，不得聲請調解。至同法第1條所定得調解之民事、刑事事件有哪些，請參照「何種事件可以向鄉鎮市區調解委員會聲請調解」。
民眾聲請調解或法院移付調解後，調解委員會幾天內會通知當事人到場調解？,依「鄉鎮市調解條例」第15條第3項，第一項調解期日，應自受理聲請或移付之日起，不得逾15日。但當事人聲請延期者，得延長10日。
經鄉鎮市區調解委員會之調解成立案件其效力為何？刑事調解書經法院核定後，當事人就該事件是否可以再提起告訴或自訴？,"1.依「鄉鎮市調解條例」第27條規定，調解經法院核定後，當事人就該事件不得再行起訴、告訴或自訴。經法院核定之民事調解，與民事確定判決有同一之效力；經法院核定之刑事調解，以給付金錢或其他代替物或有價證券之一定數量為標的者，其調解書得為執行名義。
2.法務部108年9月4日法律字第10803513310號函：鄉鎮市調解條例第27 條第 1項、第28 條第2項規定參照，「不得告訴」應亦包含當事人尚未提起告訴之調解事件，又目前部分法院於審核調解書時，鑑於刑事告訴權不得預先捨棄，建議將調解書內容記載使用較無爭議文字；另上述規定係為使紛爭得以終局解決，避免調解經核定後再生爭端，倘調解書中以附帶條件方式撤回告訴，因條件是否成就未能確定，從而將影響調解內容之明確性與安定性，調解書中以附帶條件方式撤回告訴，恐遭法院不予核定。"
民眾間發生爭議時，利用鄉鎮市區調解委員會調解究竟有何好處？,"1.聲請調解之程序簡單、調解流程進行迅速。
2.依「鄉鎮市調解條例」第23條規定，除勘驗費應由當事人核實支付外，不徵收任何費用或報酬，或以任何名義收受報酬。
3.調解之開始、進行、終結均尊重當事人的意思（鄉鎮市調解條例第10、11、13、17、20條）。
4.依「鄉鎮市調解條例」第27條第2項規定，調解成立，送經法院核定後，與法院確定判決有同一效力。"
民眾發生紛爭，除到法院訴訟外，是否還有其他解決途徑？,民眾發生民事或告訴乃論刑事案件紛爭時，除了向法院提起訴訟外，還可以依照「鄉鎮市調解條例」第10條第1項之規定，由當事人向調解委員會以書面或言詞聲請調解；以言詞提出聲請者，應製作筆錄；以書面提出聲請者，應按他造人數提出繕本。
甲夫與乙妻於107年12月底間參加台中市府舉辦之跨年晚會認識，兩人相見恨晚，於108年2月閃電結婚並定居於臺中市，並於109年1月誕下一子丙男，但是好景不長，甲夫從事餐飲業，受新冠肺炎影響，甲在家放無薪假，頓時少了每月7萬元收入，乙妻則從事保母業，每月收入2萬餘元，因為收入減少，又要扶養幼子，導致甲夫與乙妻爭執不斷，雙方感情破裂，在109年10月10日雙方協議離婚，丙子親權歸乙女所有，乙女與丙子則搬到苗栗定居，甲、乙雙方於離婚協議書上載明：「雙方拋棄剩餘財產分配請求權，未來兩人財產各不相干，丙子由乙女負責扶養成人，日後絕不向甲男有任何請求。」未料乙女因某次疏忽未能將其照顧之丁男嬰照顧妥當，於是被雇主解雇導致失業，乙女坐吃山空，在存款即將用盡之時，想起了前夫甲男，乙女想以其名義具狀向法院提出請求扶養費之訴訟，但是又想起曾與前夫甲簽署之離婚協議書之約定，乙女驚覺不妙，內心覺得忐忑不安，不知如何是好？請問可否建議乙女採取何種方式取得扶養費？本案起訴前是否需先經過調解程序？如乙女最終想以訴訟為之，其受訴法院為何？可否由甲、乙協議至台中地方法院處理？ ,"一、乙女仍可向甲男請求未成年人丙子之扶養費依民法第1084條第2項之規定：「父母對於未成年之子女，有保護及教養之權利義務。」所謂保護及教養之權利義務，自包括「扶養」在內(最高法院107年台簡抗字第148號裁定)。又父母對於未成年子女之扶養義務，不因結婚經撤銷或離婚而受影響，民法第1116條之2定有明文。因此，即便乙女與甲男於離婚時協議，乙女日後絕不向甲男請求丙子之扶養費，但此不過為二人之「內部」約定而已，該約定對於未成年人丙子不生效力(最高法院98年台上字第1536號判決)，故乙女仍可本於丙子之名義，以法定代理人之身分向甲男請求扶養費(民法第1086條第1項參照)。
二、本案起訴前應經調解程序本案中，關於乙女代理未成年子女丙向甲男請求扶養費之事件，其定性為家事事件法第3條第5項第8款「定對於未成年子女權利義務之行使負擔事件」之戊類事件(最高法院102年台簡抗字第29號裁定、最高法院102年台抗字第339號裁定)。又「家事事件除第三條所定丁類事件外，於請求法院裁判前，應經法院調解」，家事事件法第23條第1項定有明文。因此，乙女在起訴前，依照上述規定，欲就戊類事件請求法院裁判之前，應經法院為調解程序，如乙女逕向法院請求裁判者，則視為調解之聲請(家事事件法第23條第2項本文參照)。
三、乙女如欲以訴訟為之，其受訴法院專屬為未成年丙子之住所地法院管轄，不可由甲、乙協議至台中地方法院處理由上述可知，關於乙女代理未成年子女丙向甲男請求扶養費之事件，屬於戊類之家事非訟事件，又依照家事事件法第104條第1項第1款之規定，關於未成年子女扶養之請求，專屬子女住所或居所地法院管轄，其立法目的為，關於上述之非訟事件，多發生在子女身分關係生活之中心即住居所地，為便利未成年人使用法院及調查證據之便捷，以追求實體及程序利益，宜以其住所或居所地法院專屬管轄。依此，丙子之住所地為苗栗，依上述規定，乙女如欲以訴訟為之，係以苗栗地方法院為「專屬」管轄，甲、乙「似」不可協議至台中地方法院處理。惟依家事事件法第6條第1項本文：「法院受理家事事件之全部或一部不屬其管轄者，除當事人有管轄之合意外，應依聲請或依職權以裁定移送於其管轄法院。」可知，不同於民事訴訟法，家事事件法中的「合意」管轄，其效力優先於「專屬」管轄(家事事件法第6條立法理由參照)，因此甲、乙仍可協議之台中地方法院處理，不受家事事件法第104條第1項專屬管轄之拘束。"
